engine,timestamp,k,build_time_s,index_size_bytes,search_k,recall_at_k,precision_at_k,ndcg_at_k,p50_ms,p95_ms,p99_ms,qps_c1,qps_c8,search_ef,num_candidates,ef_search,hnsw_ef,ef_runtime,ef,sweep_param_name,sweep_param_value,sweep_rank
annoy,2026-09-02T19:48:10.391925+00:00,10,0.4123555000005581,29711256,100.0,0.7988,0.8432000000000001,0.8507020027968014,0.4074000007676659,0.5392450018916861,0.6600669999897943,2052.3492729160625,9219.223925206981,,,,,,,search_k,100.0,1
annoy,2026-09-02T19:48:10.391925+00:00,10,0.4123555000005581,29711256,200.0,0.8008,0.8442000000000001,0.8513971829996633,0.4155999995418824,0.5643350003083469,0.6585600002654245,2293.6831965619795,9316.799120816377,,,,,,,search_k,200.0,2
annoy,2026-09-02T19:48:10.391925+00:00,10,0.4123555000005581,29711256,500.0,0.8232,0.847,0.8532907804765295,0.4441499986569397,0.5990599984215804,0.804271999368211,2317.0245697704718,11061.885720411432,,,,,,,search_k,500.0,3
annoy,2026-09-02T19:48:10.391925+00:00,10,0.4123555000005581,29711256,1000.0,0.8844000000000001,0.8503999999999999,0.8571919543749895,0.5868999996891944,0.7516000005125534,0.8244959982403087,1732.1881260165464,9242.571282338433,,,,,,,search_k,1000.0,4
annoy,2026-09-02T19:48:10.391925+00:00,10,0.4123555000005581,29711256,2000.0,0.9342,0.8492000000000001,0.8553109503738229,0.7698499994148733,1.0474850001628508,1.2102950000553392,1306.2853881117203,7600.690143274703,,,,,,,search_k,2000.0,5
chroma,2026-09-02T20:22:48.006439+00:00,10,2.4651567000000796,31608744,,0.8934000000000001,0.8466000000000001,0.8538220947660573,3.123250000498956,3.542824998658033,4.190404000073612,306.6325384643653,364.33801240537883,10.0,,,,,,search_ef,10.0,1
chroma,2026-09-02T20:22:48.006439+00:00,10,2.4651567000000796,31608744,,0.9550000000000001,0.8436,0.8501607315705085,3.4322500014241086,3.8671400003295275,4.194876002657111,283.1824324952144,340.2504549571141,20.0,,,,,,search_ef,20.0,2
chroma,2026-09-02T20:22:48.006439+00:00,10,2.4651567000000796,31608744,,0.9858000000000001,0.8433999999999999,0.8497855405876016,3.482749998511281,4.868610000812623,5.943957998279073,278.5410576486444,342.83917808354613,40.0,,,,,,search_ef,40.0,3
chroma,2026-09-02T20:22:48.006439+00:00,10,2.4651567000000796,31608744,,0.9982000000000001,0.8424,0.849153937667523,3.451949998634518,3.842324999095581,4.438178999771476,277.0051642078415,305.14067442802724,80.0,,,,,,search_ef,80.0,4
chroma,2026-09-02T20:22:48.006439+00:00,10,2.4651567000000796,31608744,,0.9997999999999999,0.842,0.8488309386563501,3.5858999981428497,4.051459999936924,4.447312000047529,270.73655911452556,318.46215897455494,160.0,,,,,,search_ef,160.0,5
